,Team,Nome,Budget,PMAL
616,INT,DUMFRIES,3.4%,4.2%
617,SAL,MAZZOCCHI,3.4%,3.4%
618,ATA,BAKKER,3%,4%
619,GEN,MARTIN,3%,3.3%
620,LEC,BASCHIROTTO,2.8%,3%
621,LAZ,CASALE,2.4%,2.4%
622,ROM,MANCINI,2.4%,2.5%
623,ATA,TOLOI,2.4%,1.6%
624,TOR,BUONGIORNO,2.2%,2.8%
625,VER,DOIG,2.2%,2.2%
626,EMP,EBUEHI,2.2%,2%
627,FIO,BIRAGHI,2%,3.2%
628,FIO,DODO',2%,3%
629,NAP,OLIVERA,2%,2%
630,ROM,SPINAZZOLA,2%,3%
631,TOR,VOJVODA,2%,1.2%
632,TOR,BELLANOVA,1.8%,2.6%
633,ROM,KRISTENSEN,1.8%,2.4%
634,MON,KYRIAKOPOULOS,1.8%,1.3%
635,GEN,DRAGUSIN,1.6%,1%
636,VER,FARAONI,1.6%,1.9%
637,UDI,PEREZ N.,1.6%,1%
638,ATA,SCALVINI,1.6%,3.2%
639,JUV,GATTI,1.4%,2%
640,LAZ,MARUSIC,1.4%,0.8%
641,ROM,N'DICKA,1.4%,2.3%
642,NAP,NATAN,1.4%,2.2%
643,INT,ACERBI,1.4%,2.1%
644,MIL,THIAW,1.4%,2.8%
645,CAG,AUGELLO,1.2%,1.2%
646,FIO,MILENKOVIC,1.2%,2%
647,BOL,BEUKEMA,1%,1.2%
648,MIL,CALABRIA,1%,2.2%
649,EMP,ISMAJLI,1%,0.2%
650,MON,IZZO,1%,0.6%
651,NAP,JUAN JESUS,1%,0.4%
652,EMP,LUPERTO,1%,0.4%
653,UDI,BIJOL,0.8%,1.6%
654,LEC,DORGU,0.8%,0.3%
655,FRO,OYONO,0.8%,0.5%
656,SAL,BRADARIC,0.6%,0.3%
657,LEC,GENDREY,0.6%,0.2%
658,CAG,ZAPPA,0.6%,0.6%
659,CAG,DOSSENA,0.4%,0.2%
660,UDI,EBOSELE,0.4%,0.6%
661,VER,HIEN,0.4%,0.2%
662,MON,MARI',0.4%,0.6%
663,GEN,VOGLIACCO,0.4%,0.2%
664,MON,CALDIROLA,0.2%,0.2%
665,BOL,LYKOGIANNIS,0.2%,0.2%
666,UDI,MASINA,0.2%,0.3%
667,TOR,RODRIGUEZ R.,0.2%,0.4%
668,SAS,VITI,0.2%,0.2%
669,INT,CARLOS AUGUSTO,2%,4%
670,INT,CUADRADO,1.6%,3.5%
671,ATA,KOLASINAC,1.4%,2.2%
672,CAG,AZZI,1.2%,0.5%
673,JUV,CAMBIASO,1%,1.1%
674,INT,BISSECK,0.8%,1%
675,INT,DARMIAN,0.6%,1.7%
676,FIO,KAYODE,0.6%,0.5%
677,UDI,KAMARA H.,0.4%,0.3%
678,LAZ,LAZZARI,0.4%,0.8%
679,NAP,MARIO RUI,0.4%,2%
680,FIO,PARISI,0.4%,1.4%
681,UDI,ZEMURA,0.4%,0.4%
682,MON,D'AMBROSIO,0.2%,1%
683,INT,DE VRIJ,0.2%,0.5%
684,ATA,DJIMSITI,0.2%,0.2%
685,UDI,EHIZIBUE,0.2%,0.2%
686,ATA,HATEBOER,0.2%,0.2%
687,MIL,KALULU,0.2%,0.8%
688,FIO,MINA,0.2%,0.6%
689,SAS,MISSORI,0.2%,0.2%
690,NAP,OSTIGARD,0.2%,0.2%
691,FIO,RANIERI L.,0.2%,0.2%
692,ATA,RUGGERI,0.2%,0.3%
693,VER,TERRACCIANO F.,0.2%,0.2%
694,NAP,ZANOLI,0.2%,0.2%
695,ATA,ZORTEA,0.2%,0.3%
696,GEN,BANI,0.2%,0.2%
697,SAS,ERLIC,0.2%,0.2%
698,SAL,GYOMBER,0.2%,0.2%
699,SAL,LOVATO,0.2%,0.2%
700,BOL,LUCUMI',0.2%,0.3%
701,VER,MAGNANI,0.2%,0.3%
702,FRO,MARCHIZZA,0.2%,0.2%
703,CAG,OBERT,0.2%,0.2%
704,EMP,PEZZELLA GIU.,0.2%,0.2%
705,SAL,PIROLA,0.2%,0.3%
706,LEC,PONGRACIC,0.2%,0.2%
707,FRO,ROMAGNOLI S.,0.2%,0.3%
708,FRO,SZYMINSKI,0.2%,0.2%
709,SAS,VINA,0.2%,0.4%
710,JUV,ALEX SANDRO,0.2%,0.3%
711,EMP,CACACE,0.2%,0.2%
712,MON,CARBONI F.,0.2%,0.2%
713,ROM,CELIK,0.2%,0.2%
714,VER,COPPOLA D.,0.2%,0.3%
715,SAL,DANILIUC,0.2%,0.2%
716,VER,DAWIDOWICZ,0.2%,0.2%
717,TOR,DJIDJI,0.2%,0.2%
718,SAL,FAZIO,0.2%,0.2%
719,SAS,FERRARI G.,0.2%,0.2%
720,LEC,GALLO,0.2%,0.2%
721,GEN,HEFTI,0.2%,0.2%
722,JUV,HUIJSEN,0.2%,0.2%
723,LAZ,HYSAJ,0.2%,0.2%
724,UDI,KABASELE,0.2%,0.2%
725,FRO,KALAJ,0.2%,0%
726,ROM,KARSDORP,0.2%,0.2%
727,ROM,LLORENTE D.,0.2%,0.4%
728,FIO,MARTINEZ QUARTA,0.2%,0.2%
729,FRO,MONTERISI,0.2%,0.2%
730,TOR,N'GUESSAN,0.2%,0%
731,ATA,OKOLI,0.2%,0.3%
732,ATA,PALOMINO,0.2%,0.2%
733,LAZ,PELLEGRINI LU.,0.2%,0.2%
734,MIL,PELLEGRINO,0.2%,0.2%
735,GEN,SABELLI,0.2%,0.2%
736,SAL,SAMBIA,0.2%,0.2%
737,LEC,SMAJLOVIC,0.2%,0.2%
738,BOL,SOUMAORO,0.2%,0.2%
739,SAS,TOLJAN,0.2%,0.2%
740,GEN,VASQUEZ,0.2%,0.2%
741,UDI,ABANKWAH,0.2%,0.2%
742,BOL,AMEY,0.2%,0.2%
743,VER,AMIONE,0.2%,0.2%
744,MON,ANTOV,0.2%,0.2%
745,MIL,BALLO-TOURE',0.2%,0.2%
746,EMP,BERESZYNSKI,0.2%,0.2%
747,GEN,BIRASCHI,0.2%,0.3%
748,MON,BIRINDELLI,0.2%,0.2%
749,BOL,BONIFAZI,0.2%,0.2%
750,JUV,BONUCCI,0.2%,0.2%
751,SAL,BRONN,0.2%,0.2%
752,VER,CABAL,0.2%,0.2%
753,CAG,CAPRADOSSI,0.2%,0%
754,MON,CARBONI A.,0.2%,0.2%
755,MON,CITTADINI,0.2%,0.2%
756,BOL,CORAZZA,0.2%,0.2%
757,JUV,DE SCIGLIO,0.2%,0.2%
758,BOL,DE SILVESTRI,0.2%,0.2%
759,GEN,DE WINTER,0.2%,0.2%
760,LEC,DERMAKU,0.2%,0.2%
761,CAG,DI PARDO,0.2%,0.3%
762,UDI,EBOSSE,0.2%,0.4%
763,UDI,FERREIRA J.,0.2%,0%
764,MIL,FLORENZI,0.2%,0.2%
765,LAZ,GILA,0.2%,0.2%
766,CAG,GOLDANIGA,0.2%,0.3%
767,EMP,GUARINO,0.2%,0.2%
768,UDI,GUESSAND A.,0.2%,0%
769,VER,GUNTER,0.2%,0.4%
770,MIL,KJAER,0.2%,0.2%
771,FRO,KLITTEN,0.2%,0.2%
772,ROM,KUMBULLA,0.2%,0.1%
773,TOR,LAZARO,0.2%,0.2%
774,FRO,MATEUS LUSUARDI,0.2%,0%
775,GEN,MATTURRO,0.2%,0.2%
776,GEN,PAJAC,0.2%,0.2%
777,LAZ,PATRIC,0.2%,0.2%
778,SAS,PEDERSEN,0.2%,0.2%
779,FIO,PIEROZZI,0.2%,0.2%
780,JUV,RUGANI,0.2%,0.2%
781,ATA,SOPPY,0.2%,0.2%
782,BOL,SOSA,0.2%,0%
783,EMP,TONELLI,0.2%,0.2%
784,LEC,TOUBA,0.2%,0%
785,SAS,TRESSOLDI,0.2%,0.2%
786,LEC,VENUTI,0.2%,0.2%
787,EMP,WALUKIEWICZ,0.2%,0%
788,TOR,ZIMA,0.2%,0.2%
789,LAZ,ZACCAGNI,11%,12.2%
790,LAZ,FELIPE ANDERSON,8.4%,9.6%
791,LEC,STREFEZZA,8.2%,7.8%
792,BOL,ORSOLINI,8%,7.2%
793,MIL,PULISIC,7.4%,8%
794,MIL,CHUKWUEZE,7.2%,9%
795,ATA,KOOPMEINERS,7.2%,8.4%
796,INT,BARELLA,7%,9%
797,INT,FRATTESI,7%,8%
798,GEN,MALINOVSKYI,6.6%,5%
799,LAZ,LUIS ALBERTO,6%,7.6%
800,ROM,PELLEGRINI LO.,5.8%,6.8%
801,NAP,ZIELINSKI,5.6%,5%
802,SAL,CANDREVA,5.4%,5%
803,JUV,RABIOT,5.2%,6.4%
804,GEN,GUDMUNDSSON A.,5%,6%
805,LAZ,KAMADA,5%,5.3%
806,VER,LAZOVIC,4.8%,3.2%
807,TOR,VLASIC,4.8%,5.4%
808,BOL,FERGUSON,4.6%,5%
809,MON,CIURRIA,4.4%,3.8%
810,UDI,LOVRIC,4.4%,4.2%
811,ROM,EL SHAARAWY,4.2%,3.1%
812,INT,CALHANOGLU,4%,6%
813,NAP,POLITANO,3.8%,4%
814,FIO,BONAVENTURA,3.6%,3.2%
815,MIL,REIJNDERS,3.6%,4.2%
816,EMP,BALDANZI,3.4%,3.6%
817,ROM,AOUAR,3.2%,3.8%
818,JUV,WEAH,3.2%,4%
819,NAP,ZAMBO ANGUISSA,3.2%,2.4%
820,NAP,ELMAS,3%,2.4%
821,VER,MBOULA,3%,1.2%
822,TOR,RADONJIC,3%,2.2%
823,JUV,KOSTIC,2.8%,4.4%
824,MIL,LOFTUS-CHEEK,2.6%,3%
825,ATA,PASALIC,2.6%,3.6%
826,FIO,IKONE',2.4%,2.1%
827,MON,PESSINA,2%,3.8%
828,INT,MKHITARYAN,1.8%,2%
829,TOR,ILIC,1.6%,1.2%
830,FIO,MANDRAGORA,1.6%,0.2%
831,BOL,DOMINGUEZ,1.4%,0.8%
832,ROM,RENATO SANCHES,1.4%,1.4%
833,NAP,LOBOTKA,1.2%,1.8%
834,MON,COLPANI,1%,1.6%
835,ATA,DE ROON,1%,0.6%
836,FRO,HARROUI,1%,0.4%
837,CAG,JANKTO,1%,0.6%
838,SAL,KASTANOS,1%,0.5%
839,SAL,COULIBALY L.,0.8%,0.5%
840,JUV,FAGIOLI,0.8%,1.4%
841,SAS,MATHEUS HENRIQUE,0.8%,0.2%
842,TOR,RICCI S.,0.8%,0.8%
843,MIL,MUSAH,0.6%,0.4%
844,CAG,NANDEZ,0.6%,0.6%
845,EMP,GYASI,0.4%,0.6%
846,GEN,THORSBY,0.4%,0.2%
847,LAZ,CATALDI,0.2%,0.2%
848,EMP,FAZZINI,0.2%,0.3%
849,MON,GAGLIARDINI,0.2%,0.4%
850,JUV,LOCATELLI,0.2%,0.8%
851,EMP,MARIN,0.2%,0.4%
852,BOL,MORO N.,0.2%,0.2%
853,LEC,RAFIA,0.2%,0.3%
854,LEC,RAMADANI,0.2%,0.2%
855,TOR,TAMEZE,0.2%,0.2%
856,LAZ,VECINO,0.2%,0.2%
857,ROM,ZALEWSKI,0.2%,0.2%
858,ATA,DE KETELAERE,2%,2.8%
859,BOL,NDOYE,1.8%,1.2%
860,SAS,BAJRAMI,1.6%,2.6%
861,VER,SAPONARA,1.4%,1%
862,GEN,MESSIAS,1.2%,1.7%
863,UDI,SAMARDZIC,1.2%,2.6%
864,VER,FOLORUNSHO,1%,0.4%
865,FRO,BAEZ,0.8%,0.2%
866,BOL,FABBIAN,0.6%,0.2%
867,JUV,POGBA,0.6%,2.2%
868,CAG,ORISTANIO,0.4%,0.3%
869,GEN,ARAMU,0.2%,0.2%
870,SAS,BOLOCA,0.2%,0.2%
871,NAP,CAJUSTE,0.2%,0.2%
872,MON,CARBONI V.,0.2%,0.2%
873,FIO,CASTROVILLI,0.2%,0.2%
874,ATA,EDERSON D.S.,0.2%,0.3%
875,JUV,ILING JUNIOR,0.2%,0.3%
876,EMP,MALDINI,0.2%,0.2%
877,CAG,MANCOSU,0.2%,0.2%
878,JUV,MCKENNIE,0.2%,0.2%
879,ATA,MIRANCHUK,0.2%,0.3%
880,JUV,MIRETTI,0.2%,0.2%
881,SAS,RACIC,0.2%,0.2%
882,MIL,ROMERO L.,0.2%,0.2%
883,FIO,SABIRI,0.2%,0.2%
884,FIO,SOTTIL,0.2%,0.2%
885,SAS,THORSTVEDT,0.2%,0.2%
886,SAS,VOLPATO,0.2%,0.2%
887,UDI,ZARRAGA,0.2%,0.2%
888,FIO,ARTHUR MELO,0.2%,0.6%
889,GEN,BADELJ,0.2%,0.2%
890,LEC,BLIN,0.2%,0.2%
891,SAL,BOHINEN,0.2%,0.3%
892,FRO,BRESCIANINI,0.2%,0.2%
893,ROM,CRISTANTE,0.2%,0.3%
894,VER,DUDA,0.2%,0.2%
895,GEN,FRENDRUP,0.2%,0.2%
896,LEC,GONZALEZ J.,0.2%,0.2%
897,VER,HONGLA,0.2%,0.2%
898,SAS,LOPEZ M.,0.2%,0.2%
899,SAL,MAGGIORE,0.2%,0.3%
900,CAG,MAKOUMBOU,0.2%,0.2%
901,LEC,MALEH,0.2%,0.3%
902,FRO,MAZZITELLI,0.2%,0.2%
903,GEN,STROOTMAN,0.2%,0.2%
904,UDI,WALACE,0.2%,0.2%
905,MON,AKPA AKPRO,0.2%,0.2%
906,FIO,AMRABAT,0.2%,0.2%
907,FIO,BARAK,0.2%,0.3%
908,LAZ,BASIC,0.2%,0.2%
909,EMP,CROCIATA,0.2%,0.2%
910,CAG,DEIOLA,0.2%,0.3%
911,FRO,GARRITANO,0.2%,0.3%
912,EMP,GRASSI,0.2%,0.2%
913,VER,HRUSTIC,0.2%,0%
914,GEN,JAGIELLO,0.2%,0%
915,VER,JOSELITO,0.2%,0.2%
916,LEC,KABA,0.2%,0.2%
917,MIL,KRUNIC,0.2%,0.2%
918,SAL,LEGOWSKI,0.2%,0.2%
919,MON,MACHIN,0.2%,0.2%
920,GEN,MELEGONI,0.2%,0.2%
921,UDI,PAFUNDI,0.2%,0.2%
922,ROM,PAREDES,0.2%,0.2%
923,MIL,POBEGA,0.2%,0.2%
924,UDI,QUINA,0.2%,0%
925,EMP,RANOCCHIA F.,0.2%,0.2%
926,LAZ,ROVELLA,0.2%,0.3%
927,INT,SENSI,0.2%,0.2%
928,CAG,SULEMANA I.,0.2%,0.4%
929,MIL,ADLI,0.2%,0.2%
930,ATA,ADOPO,0.2%,0.3%
931,BOL,AEBISCHER,0.2%,0.2%
932,FIO,AMATUCCI,0.2%,0.5%
933,INT,ASLLANI,0.2%,0.2%
934,FRO,BARRENECHEA,0.2%,0.2%
935,EMP,BELARDINELLI,0.2%,0%
936,FIO,BENASSI,0.2%,0.2%
937,MIL,BENNACER,0.2%,0.2%
938,ROM,BOVE,0.2%,0.2%
939,UDI,CAMARA E.,0.2%,0.3%
940,SAL,COULIBALY M.,0.2%,0.3%
941,NAP,DEMME,0.2%,0.2%
942,FIO,DUNCAN,0.2%,0.3%
943,BOL,EL AZZOUZI,0.2%,0.3%
944,LEC,FATICANTI,0.2%,0.2%
945,NAP,GAETANO,0.2%,0.4%
946,FRO,GELLI,0.2%,0.2%
947,TOR,GINEITIS,0.2%,0.1%
948,EMP,HAAS,0.2%,0.2%
949,FRO,HAOUDI,0.2%,0.2%
950,LEC,HELGASON,0.2%,0.2%
951,EMP,HENDERSON L.,0.2%,0.3%
952,TOR,ILKHAN,0.2%,0.2%
953,FIO,INFANTINO,0.2%,0.2%
954,CAG,KOURFALIDIS,0.2%,0%
955,EMP,KOVALENKO,0.2%,0%
956,TOR,LINETTY,0.2%,0.2%
957,SAS,LIPANI,0.2%,0.2%
958,FRO,LULIC K.,0.2%,0%
959,LAZ,MARCOS ANTONIO,0.2%,0.5%
960,SAL,MARTEGANI,0.2%,0%
961,JUV,NICOLUSSI CAVIGLIA,0.2%,0.3%
962,SAS,OBIANG,0.2%,0.3%
963,ROM,PAGANO,0.2%,0.2%
964,CAG,PRATI,0.2%,0.3%
965,CAG,ROG,0.2%,0.2%
966,NAP,SACO,0.2%,0.2%
967,MIL,SAELEMAEKERS,0.2%,0.2%
968,VER,SERDAR,0.2%,0%
969,BOL,URBANSKI,0.2%,0.2%
970,BOL,VIGNATO,0.2%,0.3%
971,MON,VIGNATO S.,0.2%,0.2%
972,CAG,VIOLA,0.2%,0.2%
973,NAP,ZERBIN,0.2%,0.2%
974,NAP,OSIMHEN,35%,36.4%
975,INT,MARTINEZ L.,32%,36.4%
976,LAZ,IMMOBILE,30%,31%
977,ROM,DYBALA,24%,21.6%
978,MIL,RAFAEL LEAO,23%,28.1%
979,NAP,KVARATSKHELIA,20%,23.2%
980,JUV,VLAHOVIC,20%,29%
981,SAS,BERARDI,19%,18.3%
982,MIL,GIROUD,15%,15.7%
983,ATA,LOOKMAN,14%,14.8%
984,SAL,DIA,13%,12.4%
985,ATA,SCAMACCA,13%,16.7%
986,TOR,SANABRIA,12%,11%
987,FIO,NZOLA,11%,11.1%
988,GEN,RETEGUI,11%,13.6%
989,INT,THURAM,11%,11.4%
990,INT,ARNAUTOVIC,10.6%,9.4%
991,UDI,BETO,10%,10.7%
992,FIO,GONZALEZ N.,9%,7.2%
993,SAS,LAURIENTE',9%,8.6%
994,JUV,CHIESA,8%,11%
995,VER,NGONGE,7%,3.2%
996,EMP,CAPUTO,6%,4.6%
997,SAS,PINAMONTI,6%,4%
998,FRO,CASO,5%,1.2%
999,MON,MOTA,5%,1%
1000,MON,PETAGNA,4%,1%
1001,MON,CAPRARI,3%,3.2%
1002,CAG,SHOMURODOV,3%,1%
1003,VER,DJURIC,2%,0.3%
1004,CAG,LUVUMBO,2%,1%
1005,FRO,CHEDDIRA,1.4%,1.8%
1006,LAZ,PEDRO,1%,0.4%
1007,ATA,ZAPATA D.,6%,5%
1008,ROM,BELOTTI,5%,3%
1009,FIO,BELTRAN L.,5%,3.2%
1010,BOL,KARLSSON,4%,1.2%
1011,JUV,MILIK,4%,3.8%
1012,LAZ,CASTELLANOS,3%,2%
1013,MIL,OKAFOR,3%,3%
1014,NAP,RASPADORI,3%,2%
1015,NAP,SIMEONE,3%,1.7%
1016,LEC,ALMQVIST,2%,1.4%
1017,VER,BONAZZOLI,2%,1%
1018,UDI,DEULOFEU,2%,2.4%
1019,ATA,TOURE' E.,2%,4%
1020,LEC,KRSTOVIC,1.6%,0.4%
1021,SAS,MULATTIERI,1.4%,0.7%
1022,FRO,CUNI,1%,0.2%
1023,JUV,KEAN,1%,0.4%
1024,LEC,BANDA,0.8%,0.2%
1025,LAZ,ISAKSEN,0.8%,0.4%
1026,UDI,THAUVIN,0.8%,1.1%
1027,BOL,ZIRKZEE,0.6%,2.3%
1028,UDI,BRENNER,0.4%,0.2%
1029,EMP,CANCELLIERI,0.4%,0.2%
1030,FRO,KVERNADZE,0.4%,0.2%
1031,ROM,ABRAHAM,0.2%,0.3%
1032,UDI,AKE' M.,0.2%,0.2%
1033,FRO,BORRELLI,0.2%,0.2%
1034,EMP,CAMBIAGHI,0.2%,0.2%
1035,FIO,JOVIC,0.2%,0.3%
1036,TOR,KARAMOH,0.2%,0.2%
1037,CAG,LAPADULA,0.2%,0.6%
1038,UDI,LUCCA,0.2%,0.2%
1039,ATA,MURIEL,0.2%,0.5%
1040,CAG,PAVOLETTI,0.2%,0.2%
1041,EMP,SHPENDI S.,0.2%,0.2%
1042,BOL,BARROW,0.2%,0.4%
1043,SAL,BOTHEIM,0.2%,0.2%
1044,FIO,BREKALO,0.2%,0.2%
1045,LEC,BURNETE,0.2%,0.2%
1046,SAS,CEIDE,0.2%,0.2%
1047,MIL,COLOMBO,0.2%,0.2%
1048,SAS,DEFREL,0.2%,0.2%
1049,LEC,DI FRANCESCO F.,0.2%,0.2%
1050,EMP,EKONG,0.2%,0.2%
1051,VER,HENRY,0.2%,0.2%
1052,JUV,KAIO JORGE,0.2%,0.2%
1053,FIO,KOUAME',0.2%,0.2%
1054,NAP,LOZANO,0.2%,0.2%
1055,EMP,PICCOLI,0.2%,0.2%
1056,GEN,PUSCAS,0.2%,0.4%
1057,ROM,SOLBAKKEN,0.2%,0.2%
1058,JUV,SOULE',0.2%,0.2%
1059,SAL,STEWART,0.2%,0.2%
1060,SAS,ALVAREZ A.,0.2%,0.2%
1061,ROM,AZMOUN,0.2%,0.5%
1062,FRO,BIDAOUI,0.2%,0.2%
1063,VER,BRAAF,0.2%,0.2%
1064,LEC,CORFITZEN,0.2%,0.3%
1065,GEN,EKUBAN,0.2%,0.2%
1066,SAL,IKWUEMESI,0.2%,0.2%
1067,SAL,JOVANE,0.2%,0%
1068,VER,KALLON,0.2%,0.3%
1069,FIO,KOKORIN,0.2%,0.2%
1070,MON,MARIC,0.2%,0.2%
1071,MIL,ORIGI,0.2%,0.3%
1072,TOR,PELLEGRI,0.2%,0.2%
1073,INT,SANCHEZ,0.2%,1.2%
1074,TOR,SECK,0.2%,0.3%
1075,UDI,SUCCESS,0.2%,0.2%
1076,SAL,VALENCIA D.,0.2%,0.2%
1077,BOL,VAN HOOIJDONK,0.2%,0.2%
1078,UDI,VIVALDO,0.2%,0.2%
1079,LEC,VOELKERLING PERSSON,0.2%,0.2%
1080,GEN,YALCIN,0.2%,0.2%
1081,JUV,YILDIZ,0.2%,0.2%
1082,JUV,SZCZESNY,9.6%,10%
1083,MIL,MAIGNAN,9%,10.2%
1084,NAP,MERET,8%,9.1%
1085,LAZ,PROVEDEL,7.4%,8%
1086,ROM,RUI PATRICIO,6%,7.3%
1087,TOR,MILINKOVIC-SAVIC V.,2.6%,3.6%
1088,MON,DI GREGORIO,2.4%,2.5%
1089,UDI,SILVESTRI,2.4%,2.2%
1090,BOL,SKORUPSKI,2.4%,1.7%
1091,LEC,FALCONE,2%,0.8%
1092,ATA,MUSSO,1.6%,1.5%
1093,INT,AUDERO,0.6%,0.2%
1094,SAS,CONSIGLI,1.4%,0.6%
1095,VER,MONTIPO',1.4%,0.6%
1096,FRO,TURATI,1.4%,0.2%
1097,SAS,CRAGNO,0.6%,0.2%
1098,SAL,OCHOA,0.6%,1%
1099,FIO,TERRACCIANO,0.6%,2.6%
1100,CAG,SCUFFET,0.4%,0.2%
1101,ATA,CARNESECCHI,4%,4.2%
1102,EMP,CAPRILE,1.6%,0.7%
1103,GEN,MARTINEZ JO.,1%,0.4%
1104,JUV,PERIN,0.6%,0.3%
1105,CAG,RADUNOVIC,0.6%,0.3%
1106,EMP,PERISAN,0.4%,0.2%
1107,LAZ,SEPE,0.6%,0.2%
1108,NAP,GOLLINI,0.4%,0.2%
1109,LAZ,ADAMONIS,0.2%,0.2%
1110,CAG,ARESTI,0.2%,0.2%
1111,BOL,BAGNOLINI,0.2%,0.2%
1112,VER,BERARDI A.,0.2%,0.2%
1113,ROM,BOER,0.2%,0.2%
1114,LEC,BORBEI,0.2%,0.2%
1115,LEC,BRANCOLINI,0.2%,0.2%
1116,FRO,CEROFOLINI,0.2%,0.2%
1117,FIO,CHRISTENSEN O.,0.2%,0.2%
1118,NAP,CONTINI,0.2%,0.2%
1119,SAL,COSTIL,0.2%,0.2%
1120,INT,DI GENNARO,0.2%,0.2%
1121,SAL,FIORILLO,0.2%,0.2%
1122,TOR,GEMELLO,0.2%,0.2%
1123,MON,GORI,0.2%,0.2%
1124,MON,LAMANNA,0.2%,0.2%
1125,GEN,LEALI,0.2%,0.2%
1126,FIO,MARTINELLI T.,0.2%,0.2%
1127,MIL,MIRANTE,0.2%,0.2%
1128,UDI,OKOYE,0.2%,0.2%
1129,UDI,PADELLI,0.2%,0.2%
1130,FRO,PALMISANI,0.2%,0.2%
1131,SAS,PEGOLO,0.2%,0.2%
1132,VER,PERILLI,0.2%,0.2%
1133,UDI,PIANA,0.2%,0.2%
1134,JUV,PINSOGLIO,0.2%,0.2%
1135,TOR,POPA,0.2%,0.2%
1136,BOL,RAVAGLIA F.,0.2%,0.2%
1137,ATA,ROSSI F.,0.2%,0.2%
1138,GEN,SOMMARIVA,0.2%,0.2%
1139,INT,SOMMER,0.2%,9%
1140,MON,SORRENTINO A.,0.2%,0.2%
1141,MIL,SPORTIELLO,0.2%,0.2%
1142,EMP,STUBLJAR,0.2%,0.2%
1143,ROM,SVILAR,0.2%,0.2%
1144,MIL,HERNANDEZ T.,8.4%,9%
1145,NAP,DI LORENZO,6.6%,6.4%
1146,INT,DIMARCO,6%,7.6%
1147,ROM,SMALLING,5.6%,4.2%
1148,JUV,BREMER,5.4%,4.6%
1149,JUV,DANILO,4%,4.6%
1150,BOL,POSCH,3.6%,3.9%
1151,LAZ,ROMAGNOLI,3.4%,2.8%
1152,NAP,RRAHMANI,3%,3.2%
1153,MIL,TOMORI,3%,3.1%
1154,LEC,BASCHIROTTO,2.6%,2%
1155,INT,DUMFRIES,2.6%,3.4%
1156,SAL,MAZZOCCHI,2.6%,2.4%
1157,TOR,SCHUURS,2.6%,3%
1158,FIO,DODO',2.4%,2.1%
1159,ATA,SCALVINI,2.4%,2.3%
1160,INT,BASTONI,2%,3.6%
1161,UDI,BIJOL,1.6%,1.2%
1162,INT,CUADRADO,1.6%,2.7%
1163,EMP,EBUEHI,1.6%,1.4%
1164,JUV,GATTI,1.6%,1.4%
1165,ATA,KOLASINAC,1.6%,1.5%
1166,ATA,ZAPPACOSTA,1.6%,3.4%
1167,TOR,BUONGIORNO,1.4%,2%
1168,MIL,CALABRIA,1.4%,1.6%
1169,LAZ,CASALE,1.4%,1.8%
1170,INT,DARMIAN,1.4%,1.2%
1171,MIL,KALULU,1.4%,0.4%
1172,ROM,MANCINI,1.4%,1.7%
1173,ROM,SPINAZZOLA,1.4%,2.2%
1174,TOR,VOJVODA,1.4%,1%
1175,VER,DOIG,1%,1.6%
1176,VER,FARAONI,1%,1.3%
1177,NAP,MARIO RUI,1%,1.4%
1178,FIO,MILENKOVIC,1%,1.5%
1179,MIL,THIAW,1%,1.9%
1180,INT,ACERBI,0.6%,1.6%
1181,FIO,BIRAGHI,0.6%,2.6%
1182,INT,DE VRIJ,0.6%,0.3%
1183,SAS,ERLIC,0.6%,0.2%
1184,MON,MARI',0.6%,0.3%
1185,ATA,TOLOI,0.6%,1%
1186,LEC,GENDREY,0.6%,0.2%
1187,ROM,LLORENTE D.,0.6%,0.2%
1188,BOL,LUCUMI',0.6%,0.2%
1189,UDI,MASINA,0.6%,0.2%
1190,TOR,RODRIGUEZ R.,0.6%,0.2%
1191,BOL,SOUMAORO,0.6%,0.2%
1192,GEN,VASQUEZ,0.6%,0.2%
1193,JUV,ALEX SANDRO,0.4%,0.2%
1194,EMP,BERESZYNSKI,0.4%,0.2%
1195,MON,BIRINDELLI,0.4%,0.2%
1196,SAL,BRADARIC,0.4%,0.3%
1197,SAL,BRONN,0.4%,0.2%
1198,MON,CALDIROLA,0.4%,0.2%
1199,JUV,CAMBIASO,0.4%,1%
1200,ROM,CELIK,0.4%,0.2%
1201,MON,D'AMBROSIO,0.4%,0.8%
1202,SAL,DANILIUC,0.4%,0.2%
1203,VER,DAWIDOWICZ,0.4%,0.2%
1204,JUV,DE SCIGLIO,0.4%,0.2%
1205,TOR,DJIDJI,0.4%,0.2%
1206,ATA,DJIMSITI,0.4%,0.2%
1207,UDI,EBOSELE,0.4%,0.4%
1208,UDI,EHIZIBUE,0.4%,0.2%
1209,MIL,FLORENZI,0.4%,0.2%
1210,LEC,GALLO,0.4%,0.2%
1211,VER,GUNTER,0.4%,0.2%
1212,SAL,GYOMBER,0.4%,0.2%
1213,ATA,HATEBOER,0.4%,0.2%
1214,VER,HIEN,0.4%,0.2%
1215,LAZ,HYSAJ,0.4%,0.2%
1216,EMP,ISMAJLI,0.4%,0.2%
1217,MON,IZZO,0.4%,0.3%
1218,NAP,JUAN JESUS,0.4%,0.2%
1219,ROM,KARSDORP,0.4%,0.2%
1220,MON,KYRIAKOPOULOS,0.4%,1%
