,Season,Player,Squad,F_Pos,Avg_Fanta_Score,Autogoal,Pos,Comp,Age,Match_Played,Match_Started,Min_Played,Avg_Min_Played,Goal,Assist,Penalties_Scored,Penalties_Attempted,YCards,RCards,xG,npxG,xAG,PrgC,PrgP,PrgR
4348,2015-2016,ZUKANOVIC,Sampdoria,,,,DF,it Serie A,28.0,16.0,14.0,1331.0,14.8,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4349,2015-2016,DORDEVIC,Lazio,,,,FW,it Serie A,27.0,27.0,16.0,1292.0,14.4,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4350,2015-2016,DURDEVIC,Palermo,,,,FW,it Serie A,21.0,14.0,5.0,477.0,5.3,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4351,2016-2017,KADHIM,Udinese,,,,"DF,MF",it Serie A,22.0,14.0,8.0,872.0,9.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4352,2016-2017,AGYEMANG-BADU,Udinese,,,,MF,it Serie A,25.0,29.0,20.0,2033.0,22.6,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4353,2016-2017,ALVAREZ,Sampdoria,,,,MF,it Serie A,28.0,21.0,11.0,987.0,11.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4354,2016-2017,AQUILANI,Pescara,,,,"MF,FW",it Serie A,32.0,9.0,6.0,551.0,6.1,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4355,2016-2017,BALDE,Lazio,,,,FW,it Serie A,21.0,31.0,21.0,1926.0,21.4,16.0,4.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4356,2016-2017,CATALDI,Lazio,,,,MF,it Serie A,21.0,11.0,5.0,662.0,7.4,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4357,2016-2017,JUNIOR,Bologna,,,,GK,it Serie A,32.0,18.0,17.0,1541.0,17.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4358,2016-2017,CRISTANTE,Pescara,,,,MF,it Serie A,21.0,16.0,10.0,979.0,10.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4359,2016-2017,BELO,Udinese,,,,DF,it Serie A,32.0,32.0,31.0,2813.0,31.3,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4360,2016-2017,GENNARO,Cagliari,,,,"MF,FW",it Serie A,28.0,20.0,17.0,1434.0,15.9,2.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4361,2016-2017,FERNANDEZ,Milan,,,,MF,it Serie A,30.0,13.0,8.0,652.0,7.2,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4362,2016-2017,GAGLIARDINI,Atalanta,,,,MF,it Serie A,22.0,13.0,8.0,777.0,8.6,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4363,2016-2017,GAKPE,Genoa,,,,FW,it Serie A,29.0,7.0,2.0,311.0,3.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4364,2016-2017,GILARDINO,Empoli,,,,FW,it Serie A,34.0,14.0,5.0,600.0,6.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4365,2016-2017,GOMEZ,Milan,,,,DF,it Serie A,23.0,18.0,11.0,1087.0,12.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4366,2016-2017,GONZALEZ,Palermo,,,,DF,it Serie A,28.0,21.0,18.0,1662.0,18.5,1.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4367,2016-2017,HILJEMARK,Palermo,,,,MF,it Serie A,24.0,15.0,12.0,1065.0,11.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4368,2016-2017,ITURBE,Roma,,,,"FW,MF",it Serie A,23.0,5.0,0.0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4369,2016-2017,KADDOURI,Napoli,,,,MF,it Serie A,25.0,5.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4370,2016-2017,KIYINE,Chievo,,,,MF,it Serie A,18.0,7.0,0.0,73.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4371,2016-2017,KWANG-SONG,Cagliari,,,,FW,it Serie A,17.0,5.0,0.0,64.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4372,2016-2017,LARANGEIRA,Udinese,,,,DF,it Serie A,32.0,36.0,36.0,3203.0,35.6,2.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4373,2016-2017,MAURI,Empoli,,,,MF,it Serie A,20.0,14.0,10.0,869.0,9.7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4374,2016-2017,MOUNIER,Bologna,,,,FW,it Serie A,28.0,6.0,4.0,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375,2016-2017,MUNOZ,Genoa,,,,DF,it Serie A,25.0,31.0,25.0,2347.0,26.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4376,2016-2017,NWANKWO,Crotone,,,,FW,it Serie A,24.0,21.0,4.0,579.0,6.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4377,2016-2017,OCAMPOS,Genoa,,,,FW,it Serie A,22.0,14.0,12.0,839.0,9.3,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4378,2016-2017,ORBAN,Genoa,,,,DF,it Serie A,27.0,11.0,8.0,774.0,8.6,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4379,2016-2017,PALLADINO,Crotone,,,,"FW,MF",it Serie A,32.0,19.0,16.0,1430.0,15.9,2.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4380,2016-2017,PALMIERI,Roma,,,,"DF,MF",it Serie A,21.0,25.0,23.0,1965.0,21.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4381,2016-2017,PAVOLETTI,Genoa,,,,FW,it Serie A,27.0,9.0,7.0,581.0,6.5,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4382,2016-2017,RIGONI,Genoa,,,,"MF,FW",it Serie A,31.0,31.0,29.0,2350.0,26.1,3.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4383,2016-2017,RIGONI,Chievo,,,,MF,it Serie A,25.0,12.0,5.0,505.0,5.6,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4384,2016-2017,RINCON,Genoa,,,,MF,it Serie A,28.0,16.0,16.0,1390.0,15.4,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4385,2016-2017,RODRIGUEZ,Fiorentina,,,,DF,it Serie A,32.0,26.0,26.0,2205.0,24.5,1.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4386,2016-2017,SANCHEZ,Fiorentina,,,,"DF,MF",it Serie A,30.0,31.0,23.0,2156.0,24.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4387,2016-2017,SANTOS,Udinese,,,,DF,it Serie A,21.0,21.0,21.0,1779.0,19.8,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4388,2016-2017,SAPONARA,Empoli,,,,MF,it Serie A,24.0,18.0,18.0,1528.0,17.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4389,2016-2017,SPORTIELLO,Atalanta,,,,GK,it Serie A,24.0,8.0,8.0,720.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4390,2016-2017,STORARI,Cagliari,,,,GK,it Serie A,39.0,15.0,15.0,1256.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4391,2016-2017,DORDEVIC,Lazio,,,,FW,it Serie A,28.0,17.0,4.0,464.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4392,2016-2017,DURICIC,Sampdoria,,,,MF,it Serie A,24.0,19.0,3.0,513.0,5.7,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4393,2017-2018,AARONS,Hellas Verona,,,,"MF,FW",it Serie A,21.0,11.0,6.0,517.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,9.0,17.0,31.0
4394,2017-2018,KADHIM,Udinese,,,,"DF,FW",it Serie A,23.0,23.0,18.0,1674.0,18.6,0.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,1.7,25.0,58.0,56.0
4395,2017-2018,ALVAREZ,Sampdoria,,,,MF,it Serie A,29.0,12.0,2.0,267.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,7.0,13.0,30.0
4396,2017-2018,ANDRADE,Hellas Verona,,,,GK,it Serie A,29.0,36.0,36.0,3240.0,36.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.1,0.0,1.0,0.0
4397,2017-2018,BABACAR,Fiorentina,,,,FW,it Serie A,24.0,16.0,1.0,448.0,5.0,4.0,1.0,2.0,2.0,1.0,0.0,3.9,2.4,1.1,10.0,12.0,38.0
4398,2017-2018,BEARZOTTI,Hellas Verona,,,,"DF,FW",it Serie A,20.0,6.0,4.0,410.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,16.0,14.0
4399,2017-2018,BELEC,Benevento,,,,GK,it Serie A,27.0,13.0,13.0,1113.0,12.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4400,2017-2018,BESSA,Hellas Verona,,,,"MF,FW",it Serie A,24.0,17.0,15.0,1389.0,15.4,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,1.8,44.0,68.0,59.0
4401,2017-2018,BUCHEL,Hellas Verona,,,,MF,it Serie A,26.0,23.0,20.0,1696.0,18.8,0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,0.4,4.0,60.0,7.0
4402,2017-2018,CACERES,Hellas Verona,,,,DF,it Serie A,30.0,14.0,14.0,1165.0,12.9,3.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,0.3,9.0,48.0,32.0
4403,2017-2018,CALVANO,Hellas Verona,,,,MF,it Serie A,24.0,15.0,7.0,644.0,7.2,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,4.0,23.0,11.0
4404,2017-2018,CAPUANO,Cagliari,,,,DF,it Serie A,25.0,9.0,7.0,690.0,7.7,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,14.0,30.0,22.0
4405,2017-2018,CARACCIOLO,Hellas Verona,,,,DF,it Serie A,27.0,33.0,32.0,2857.0,31.7,2.0,4.0,0.0,0.0,6.0,0.0,1.6,1.6,1.0,2.0,33.0,8.0
4406,2017-2018,CERCI,Hellas Verona,,,,FW,it Serie A,30.0,24.0,22.0,1635.0,18.2,3.0,1.0,1.0,1.0,1.0,0.0,3.3,2.5,4.1,76.0,42.0,141.0
4407,2017-2018,CODA,Benevento,,,,FW,it Serie A,28.0,24.0,14.0,1417.0,15.7,4.0,1.0,1.0,1.0,1.0,0.0,5.6,4.8,1.3,26.0,35.0,114.0
4408,2017-2018,COSTA,SPAL,,,,DF,it Serie A,22.0,23.0,14.0,1473.0,16.4,0.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,1.0,42.0,46.0,98.0
4409,2017-2018,BELO,SPAL,,,,DF,it Serie A,33.0,30.0,30.0,2573.0,28.6,1.0,1.0,0.0,0.0,6.0,1.0,2.4,2.4,0.3,25.0,97.0,7.0
4410,2017-2018,DANZI,Hellas Verona,,,,MF,it Serie A,18.0,5.0,4.0,393.0,4.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,16.0,4.0
4411,2017-2018,FALCINELLI,Sassuolo,,,,FW,it Serie A,26.0,20.0,15.0,1314.0,14.6,2.0,1.0,0.0,0.0,2.0,0.0,4.2,4.0,0.4,17.0,24.0,79.0
4412,2017-2018,FARES,Hellas Verona,,,,"DF,MF",it Serie A,21.0,30.0,29.0,2604.0,28.9,0.0,1.0,0.0,0.0,12.0,0.0,1.8,1.8,1.7,66.0,72.0,98.0
4413,2017-2018,FERRARI,Hellas Verona,,,,DF,it Serie A,23.0,25.0,25.0,2136.0,23.7,1.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.2,39.0,61.0,32.0
4414,2017-2018,FELICIOLI,Hellas Verona,,,,"MF,DF",it Serie A,19.0,6.0,2.0,277.0,3.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,16.0
4415,2017-2018,FOSSATI,Hellas Verona,,,,MF,it Serie A,24.0,17.0,11.0,1101.0,12.2,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.6,10.0,73.0,8.0
4416,2017-2018,GASPAR,Fiorentina,,,,DF,it Serie A,24.0,15.0,6.0,781.0,8.7,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8,19.0,52.0,48.0
4417,2017-2018,GOMIS,SPAL,,,,GK,it Serie A,23.0,26.0,25.0,2261.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4418,2017-2018,GONZALEZ,Bologna,,,,DF,it Serie A,29.0,22.0,22.0,1857.0,20.6,0.0,0.0,0.0,0.0,5.0,3.0,0.1,0.1,0.0,11.0,37.0,1.0
4419,2017-2018,HENRIQUE,Inter,,,,DF,it Serie A,23.0,13.0,5.0,531.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,18.0,29.0,27.0
4420,2017-2018,HEURTAUX,Hellas Verona,,,,DF,it Serie A,29.0,17.0,16.0,1392.0,15.5,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,22.0,0.0
4421,2017-2018,KEAN,Hellas Verona,,,,FW,it Serie A,17.0,19.0,12.0,1131.0,12.6,4.0,0.0,0.0,0.0,5.0,0.0,4.9,4.9,0.5,30.0,13.0,61.0
4422,2017-2018,KURTIC,Atalanta,,,,MF,it Serie A,28.0,14.0,7.0,662.0,7.4,2.0,0.0,0.0,0.0,2.0,0.0,1.5,1.5,0.3,19.0,21.0,43.0
4423,2017-2018,KWANG-SONG,Cagliari,,,,FW,it Serie A,18.0,7.0,3.0,277.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,3.0,4.0,27.0
4424,2017-2018,LARANGEIRA,Udinese,,,,DF,it Serie A,33.0,32.0,32.0,2775.0,30.8,1.0,0.0,0.0,0.0,8.0,0.0,1.3,1.3,0.2,5.0,62.0,3.0
4425,2017-2018,MATOS,Hellas Verona,,,,"FW,MF",it Serie A,24.0,14.0,11.0,978.0,10.9,0.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.9,38.0,18.0,78.0
4426,2017-2018,NWANKWO,Crotone,,,,FW,it Serie A,25.0,23.0,11.0,1219.0,13.5,7.0,1.0,0.0,0.0,1.0,0.0,4.2,4.2,0.6,13.0,24.0,82.0
4427,2017-2018,ORSOLINI,Atalanta,,,,"MF,FW",it Serie A,20.0,8.0,0.0,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,6.0,4.0,21.0
4428,2017-2018,PAZZINI,Hellas Verona,,,,FW,it Serie A,32.0,19.0,7.0,992.0,11.0,4.0,0.0,4.0,4.0,1.0,0.0,3.9,0.7,0.9,9.0,14.0,46.0
4429,2017-2018,PETKOVIC,Hellas Verona,,,,FW,it Serie A,22.0,16.0,10.0,922.0,10.2,0.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,1.5,20.0,25.0,36.0
4430,2017-2018,PETKOVIC,Bologna,,,,"FW,MF",it Serie A,22.0,9.0,3.0,329.0,3.7,0.0,1.0,0.0,0.0,3.0,0.0,0.1,0.1,0.9,7.0,13.0,32.0
4431,2017-2018,PUGGIONI,Sampdoria,,,,GK,it Serie A,36.0,9.0,9.0,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4432,2017-2018,RICCI,Genoa,,,,MF,it Serie A,23.0,5.0,2.0,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,7.0,13.0,16.0
4433,2017-2018,RIGONI,Genoa,,,,MF,it Serie A,32.0,23.0,19.0,1574.0,17.5,2.0,2.0,0.0,0.0,5.0,0.0,5.5,5.5,1.8,21.0,75.0,63.0
4434,2017-2018,RIGONI,Chievo,,,,MF,it Serie A,26.0,15.0,12.0,933.0,10.4,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.1,7.0,65.0,16.0
4435,2017-2018,RIZZO,SPAL,,,,MF,it Serie A,25.0,11.0,4.0,488.0,5.4,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,20.0,19.0,32.0
4436,2017-2018,ROMERO,Crotone,,,,"MF,FW",it Serie A,21.0,6.0,0.0,86.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,4.0,8.0,1.0
4437,2017-2018,ROMULO,Hellas Verona,,,,"MF,DF",it Serie A,30.0,37.0,36.0,3168.0,35.2,3.0,5.0,2.0,2.0,7.0,0.0,3.9,2.3,3.6,149.0,121.0,151.0
4438,2017-2018,SANCHEZ,Fiorentina,,,,"MF,DF",it Serie A,31.0,9.0,3.0,368.0,4.1,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.0,2.0,21.0,2.0
4439,2017-2018,SANTOS,Udinese,,,,DF,it Serie A,22.0,31.0,30.0,2569.0,28.5,2.0,0.0,0.0,0.0,7.0,1.0,0.6,0.6,0.1,28.0,108.0,23.0
4440,2017-2018,SEUNG-WOO,Hellas Verona,,,,"MF,FW",it Serie A,19.0,14.0,1.0,358.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.1,12.0,18.0,23.0
4441,2017-2018,SIMIC,SPAL,,,,DF,it Serie A,21.0,6.0,3.0,318.0,3.5,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,2.0,10.0,1.0
4442,2017-2018,SIMIC,Crotone,,,,DF,it Serie A,22.0,9.0,6.0,555.0,6.2,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,3.0,10.0,2.0
4443,2017-2018,SOUPRAYEN,Hellas Verona,,,,DF,it Serie A,28.0,22.0,19.0,1582.0,17.6,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0.2,0.4,12.0,59.0,21.0
4444,2017-2018,VALOTI,Hellas Verona,,,,"MF,FW",it Serie A,23.0,26.0,18.0,1577.0,17.5,3.0,0.0,0.0,0.0,9.0,0.0,3.6,3.6,0.8,13.0,56.0,48.0
4445,2017-2018,VERDE,Hellas Verona,,,,"FW,MF",it Serie A,21.0,30.0,22.0,1954.0,21.7,2.0,2.0,0.0,0.0,0.0,0.0,2.3,2.3,2.0,64.0,68.0,114.0
4446,2017-2018,VUKOVIC,Hellas Verona,,,,DF,it Serie A,29.0,15.0,15.0,1333.0,14.8,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,2.0,30.0,0.0
4447,2017-2018,ZACCAGNI,Hellas Verona,,,,"MF,FW",it Serie A,22.0,6.0,2.0,152.0,1.7,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,2.0,6.0,6.0
4448,2017-2018,ZUCULINI,Hellas Verona,,,,MF,it Serie A,24.0,16.0,15.0,1216.0,13.5,2.0,0.0,0.0,0.0,6.0,5.0,1.1,1.1,0.0,5.0,58.0,5.0
4449,2017-2018,ZUCULINI,Hellas Verona,,,,"MF,FW",it Serie A,26.0,11.0,3.0,329.0,3.7,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,5.0,17.0,10.0
4450,2017-2018,DURICIC,Benevento,,,,"MF,FW",it Serie A,25.0,15.0,13.0,971.0,10.8,0.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.6,43.0,44.0,51.0
4451,2018-2019,BALDE,Inter,,,,FW,it Serie A,23.0,24.0,8.0,889.0,9.9,5.0,2.0,0.0,0.0,2.0,1.0,3.9,3.9,2.2,57.0,27.0,98.0
4452,2018-2019,BIRSA,Chievo,,,,"MF,FW",it Serie A,31.0,17.0,12.0,1101.0,12.2,2.0,2.0,1.0,1.0,1.0,0.0,1.7,0.9,2.2,40.0,78.0,72.0
4453,2018-2019,CACCIATORE,Chievo,,,,DF,it Serie A,31.0,7.0,5.0,497.0,5.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,8.0,20.0,25.0
4454,2018-2019,CAN,Juventus,,,,MF,it Serie A,24.0,29.0,20.0,1811.0,20.1,4.0,1.0,1.0,1.0,7.0,0.0,2.7,1.9,2.4,48.0,90.0,46.0
4455,2018-2019,CIOFANI,Frosinone,,,,FW,it Serie A,33.0,31.0,17.0,1618.0,18.0,5.0,2.0,2.0,2.0,1.0,0.0,5.9,4.3,1.7,8.0,20.0,92.0
4456,2018-2019,COSTA,SPAL,,,,"DF,FW",it Serie A,23.0,9.0,6.0,564.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,16.0,19.0,18.0
4457,2018-2019,BELO,SPAL,,,,DF,it Serie A,34.0,30.0,27.0,2361.0,26.2,3.0,2.0,0.0,0.0,13.0,0.0,2.6,2.6,1.1,15.0,67.0,6.0
4458,2018-2019,MAIO,Bologna,,,,DF,it Serie A,31.0,6.0,6.0,491.0,5.5,0.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,10.0,17.0,1.0
4459,2018-2019,DEIOLA,Parma,,,,"MF,FW",it Serie A,22.0,10.0,5.0,545.0,6.1,0.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,0.3,7.0,10.0,20.0
4460,2018-2019,FARIAS,Cagliari,,,,FW,it Serie A,28.0,16.0,7.0,700.0,7.8,3.0,0.0,0.0,0.0,3.0,0.0,2.6,2.6,0.3,19.0,20.0,67.0
4461,2018-2019,GOMIS,SPAL,,,,GK,it Serie A,24.0,20.0,19.0,1724.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4462,2018-2019,GONZALEZ,Bologna,,,,DF,it Serie A,30.0,12.0,8.0,746.0,8.3,0.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.7,6.0,25.0,2.0
4463,2018-2019,HALLFREDSSON,Frosinone,,,,MF,it Serie A,34.0,6.0,5.0,392.0,4.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,2.0,16.0,7.0
4464,2018-2019,HENRIQUE,Inter,,,,DF,it Serie A,24.0,11.0,9.0,778.0,8.6,0.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,1.1,23.0,30.0,43.0
4465,2018-2019,LARANGEIRA,Bologna,,,,DF,it Serie A,34.0,35.0,35.0,3077.0,34.2,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.8,18.0,104.0,6.0
4466,2018-2019,MAURI,Milan,,,,MF,it Serie A,22.0,5.0,2.0,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,11.0,2.0
4467,2018-2019,PIATEK,Genoa,,,,FW,it Serie A,23.0,19.0,18.0,1593.0,17.7,13.0,0.0,2.0,2.0,5.0,0.0,9.1,7.6,1.4,28.0,30.0,107.0
4468,2018-2019,RADOVANOVIC,Chievo,,,,MF,it Serie A,29.0,19.0,19.0,1706.0,19.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.5,11.0,110.0,2.0
4469,2018-2019,RIGONI,Atalanta,,,,"FW,MF",it Serie A,25.0,12.0,6.0,522.0,5.8,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.4,28.0,29.0,80.0
4470,2018-2019,RIGONI,Parma,,,,MF,it Serie A,33.0,23.0,20.0,1761.0,19.6,2.0,1.0,0.0,0.0,5.0,0.0,3.0,3.0,0.6,17.0,65.0,36.0
4471,2018-2019,RIGONI,Chievo,,,,MF,it Serie A,27.0,24.0,23.0,1951.0,21.7,0.0,1.0,0.0,0.0,9.0,1.0,1.6,1.6,0.3,10.0,106.0,18.0
4472,2018-2019,ROMULO,Genoa,,,,"MF,FW",it Serie A,31.0,17.0,17.0,1351.0,15.0,1.0,2.0,1.0,1.0,1.0,1.0,1.7,0.9,2.0,52.0,43.0,50.0
4473,2018-2019,PENA,Napoli,,,,MF,it Serie A,22.0,27.0,20.0,1992.0,22.1,5.0,4.0,0.0,0.0,3.0,1.0,3.1,3.1,4.1,70.0,204.0,116.0
4474,2018-2019,SANDRO,Genoa,,,,MF,it Serie A,29.0,13.0,9.0,711.0,7.9,0.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,4.0,31.0,2.0
4475,2018-2019,SANTOS,Udinese,,,,DF,it Serie A,23.0,21.0,21.0,1797.0,20.0,2.0,0.0,0.0,0.0,7.0,0.0,0.9,0.9,1.3,24.0,54.0,27.0
4476,2018-2019,SAU,Cagliari,,,,"FW,MF",it Serie A,30.0,14.0,5.0,558.0,6.2,1.0,0.0,0.0,0.0,4.0,0.0,1.1,1.1,0.4,17.0,10.0,40.0
4477,2018-2019,SIMIC,SPAL,,,,DF,it Serie A,22.0,8.0,2.0,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,3.0,10.0,1.0
4478,2018-2019,SORIANO,Torino,,,,MF,it Serie A,27.0,11.0,6.0,468.0,5.2,0.0,2.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,14.0,22.0,47.0
4479,2018-2019,TERRACCIANO,Empoli,,,,GK,it Serie A,28.0,8.0,8.0,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4480,2018-2019,DORDEVIC,Chievo,,,,FW,it Serie A,30.0,13.0,6.0,634.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.6,6.0,7.0,41.0
4481,2018-2019,DURICIC,Sassuolo,,,,"FW,MF",it Serie A,26.0,23.0,16.0,1252.0,13.9,2.0,1.0,0.0,0.0,2.0,1.0,1.4,1.4,1.5,36.0,56.0,76.0
